Train on 60000 samples, validate on 10000 samples
45440/60000 [=====================>........] - ETA: 6s - loss: 0.2379
45568/60000 [=====================>........] - ETA: 6s - loss: 0.2378
45696/60000 [=====================>........] - ETA: 6s - loss: 0.2376
45824/60000 [=====================>........] - ETA: 6s - loss: 0.2375
45952/60000 [=====================>........] - ETA: 6s - loss: 0.2373
46080/60000 [======================>.......] - ETA: 6s - loss: 0.2372
46208/60000 [======================>.......] - ETA: 6s - loss: 0.2371
46336/60000 [======================>.......] - ETA: 6s - loss: 0.2369
46464/60000 [======================>.......] - ETA: 5s - loss: 0.2367
46592/60000 [======================>.......] - ETA: 5s - loss: 0.2366
46720/60000 [======================>.......] - ETA: 5s - loss: 0.2364
46848/60000 [======================>.......] - ETA: 5s - loss: 0.2363
46976/60000 [======================>.......] - ETA: 5s - loss: 0.2361
47104/60000 [======================>.......] - ETA: 5s - loss: 0.2359
47232/60000 [======================>.......] - ETA: 5s - loss: 0.2358
47360/60000 [======================>.......] - ETA: 5s - loss: 0.2357
47488/60000 [======================>.......] - ETA: 5s - loss: 0.2355
47616/60000 [======================>.......] - ETA: 5s - loss: 0.2354
47744/60000 [======================>.......] - ETA: 5s - loss: 0.2352
47872/60000 [======================>.......] - ETA: 5s - loss: 0.2351
48000/60000 [=======================>......] - ETA: 5s - loss: 0.2349
48128/60000 [=======================>......] - ETA: 5s - loss: 0.2348
48256/60000 [=======================>......] - ETA: 5s - loss: 0.2346
48384/60000 [=======================>......] - ETA: 5s - loss: 0.2345
48512/60000 [=======================>......] - ETA: 5s - loss: 0.2343
48640/60000 [=======================>......] - ETA: 4s - loss: 0.2342
48768/60000 [=======================>......] - ETA: 4s - loss: 0.2340
48896/60000 [=======================>......] - ETA: 4s - loss: 0.2339
49024/60000 [=======================>......] - ETA: 4s - loss: 0.2338
49152/60000 [=======================>......] - ETA: 4s - loss: 0.2336
49280/60000 [=======================>......] - ETA: 4s - loss: 0.2335
49408/60000 [=======================>......] - ETA: 4s - loss: 0.2334
49536/60000 [=======================>......] - ETA: 4s - loss: 0.2332
49664/60000 [=======================>......] - ETA: 4s - loss: 0.2331
